strain1,strain2,segments,gen,phys
AB1,CB4854,7,0.405483185,0.488717061
AB4,CB4854,10,0.349012295,0.454008192
CB4852,CB4856,0,0,0
CX11292,CB4856,0,0,0
CX11262,CB4856,0,0,0
CX11315,CB4856,1,0.014236242,0.005315988
CX11271,CB4856,0,0,0
CX11276,CB4856,0,0,0
CX11285,CB4856,0,0,0
ED3005,CB4856,0,0,0
ED3012,CB4856,0,0,0
ED3017,CB4856,0,0,0
ED3048,CB4856,0,0,0
ED3052,CB4856,0,0,0
ED3073,CB4856,0,0,0
EG4347,CB4856,0,0,0
EG4349,CB4856,0,0,0
EG4946,CB4856,0,0,0
JT11398,CB4856,0,0,0
JU310,CB4856,0,0,0
MY23,CB4856,0,0,0
JU1212,CB4856,0,0,0
JU1213,CB4856,0,0,0
JU1242,CB4856,0,0,0
JU1409,CB4856,0,0,0
JU1491,CB4856,1,0.010732513,0.004399269
JU1581,CB4856,0,0,0
JU1568,CB4856,0,0,0
JU311,CB4856,0,0,0
JU323,CB4856,1,0.010732513,0.004399269
JU346,CB4856,0,0,0
JU360,CB4856,0,0,0
JU367,CB4856,0,0,0
JU363,CB4856,0,0,0
JU394,CB4856,1,0.010732513,0.004399269
JU792,CB4856,0,0,0
JU397,CB4856,0,0,0
JU561,CB4856,0,0,0
JU775,CB4856,1,0.010732513,0.004399269
JU830,CB4856,0,0,0
JU847,CB4856,0,0,0
LSJ1,CB4856,0,0,0
MY10,CB4856,0,0,0
MY18,CB4856,0,0,0
PX174,CB4856,0,0,0
PX179,CB4856,0,0,0
QX1211,CB4856,0,0,0
QX1233,CB4856,0,0,0
JU258,CB4856,3,0.029067325,0.039861084
AB1,CB4856,0,0,0
AB4,CB4856,0,0,0
CB4854,CB4856,0,0,0
CB4852,CB4932,10,0.401467365,0.458302877
CX11292,CB4932,7,0.237435421,0.296778145
CX11262,CB4932,3,0.083087234,0.074478859
CX11315,CB4932,7,0.191463871,0.246619101
CX11271,CB4932,11,0.293321731,0.358466301
CX11276,CB4932,10,0.325418029,0.373973098
CX11285,CB4932,8,0.147292202,0.197479843
ED3005,CB4932,6,0.174334882,0.225046995
ED3012,CB4932,9,0.506774879,0.502027683
ED3017,CB4932,12,0.423246714,0.44477224
ED3048,CB4932,7,0.297817531,0.337775204
ED3052,CB4932,7,0.329207931,0.408790137
ED3073,CB4932,8,0.282604511,0.310256404
EG4347,CB4932,10,0.432302179,0.468238329
EG4349,CB4932,9,0.237501716,0.285573962
EG4946,CB4932,10,0.35261292,0.40435242
JT11398,CB4932,9,0.469535915,0.540575838
JU310,CB4932,7,0.338660441,0.409763956
MY23,CB4932,1,0.008052504,0.007372057
JU1212,CB4932,13,0.446270134,0.494228668
JU1213,CB4932,11,0.429634991,0.482192059
JU1242,CB4932,9,0.423218666,0.451052631
JU1409,CB4932,7,0.300790914,0.308490733
JU1491,CB4932,11,0.460326813,0.546585884
JU1581,CB4932,8,0.428192994,0.489629336
JU1568,CB4932,11,0.638683675,0.640996713
JU311,CB4932,11,0.589480106,0.603942287
JU323,CB4932,6,0.307125727,0.351355132
JU346,CB4932,9,0.334000831,0.384851183
JU360,CB4932,4,0.203487382,0.284166613
JU367,CB4932,11,0.482934149,0.522744485
JU363,CB4932,5,0.216166002,0.287531467
JU394,CB4932,12,0.531281859,0.592998883
JU792,CB4932,7,0.502925542,0.5576074
JU397,CB4932,10,0.661171307,0.675321385
JU561,CB4932,12,0.460082085,0.532769054
JU775,CB4932,11,0.23674687,0.257121827
JU830,CB4932,6,0.190842739,0.273775253
JU847,CB4932,11,0.477511859,0.526391458
LSJ1,CB4932,10,0.548771198,0.572136902
MY10,CB4932,7,0.225556977,0.313474142
MY18,CB4932,7,0.236564508,0.274889907
PX174,CB4932,10,0.30354846,0.278876659
PX179,CB4932,12,0.478582288,0.467757017
QX1211,CB4932,0,0,0
QX1233,CB4932,5,0.191272387,0.256062755
JU258,CB4932,4,0.105954521,0.159289951
AB1,CB4932,13,0.504472223,0.542561654
AB4,CB4932,5,0.215884911,0.268905576
CB4854,CB4932,5,0.260337513,0.306227092
CB4856,CB4932,0,0,0
CB4852,CX11264,5,0.239555206,0.276518769
CX11292,CX11264,6,0.378268255,0.461503279
CX11262,CX11264,8,0.468104068,0.599427039
CX11315,CX11264,11,0.671392788,0.659571166
CX11271,CX11264,5,0.28461596,0.307066937
CX11276,CX11264,7,0.291695079,0.377934065
CX11285,CX11264,6,0.230640017,0.244373824
ED3005,CX11264,5,0.274566406,0.300809185
ED3012,CX11264,4,0.198260342,0.242784868
ED3017,CX11264,4,0.202007805,0.227248682
ED3048,CX11264,5,0.245916111,0.279284304
ED3052,CX11264,4,0.168287997,0.152866119
ED3073,CX11264,6,0.178915965,0.237069443
EG4347,CX11264,5,0.264353027,0.287232492
EG4349,CX11264,6,0.098887978,0.135963468
EG4946,CX11264,8,0.32138821,0.388474558
JT11398,CX11264,4,0.155903097,0.233339016
JU310,CX11264,4,0.202952004,0.244350696
MY23,CX11264,5,0.077583669,0.095818128
JU1212,CX11264,2,0.049510301,0.024949752
JU1213,CX11264,3,0.108238466,0.097577898
JU1242,CX11264,5,0.191006379,0.217849156
JU1409,CX11264,5,0.177964845,0.199024131
JU1491,CX11264,6,0.141589134,0.137374332
JU1581,CX11264,1,0.035589626,0.034439752
JU1568,CX11264,4,0.15986835,0.210718864
JU311,CX11264,4,0.1438064,0.144970188
JU323,CX11264,5,0.210866675,0.231076764
JU346,CX11264,2,0.064309682,0.055882887
JU360,CX11264,5,0.196041356,0.243450894
JU367,CX11264,5,0.203155432,0.244093094
JU363,CX11264,5,0.196041356,0.243450894
JU394,CX11264,3,0.109863246,0.111320581
JU792,CX11264,4,0.108712845,0.108154601
JU397,CX11264,3,0.085985503,0.09657361
JU561,CX11264,5,0.155493968,0.178665942
JU775,CX11264,5,0.097758783,0.121579564
JU830,CX11264,6,0.133904029,0.185107819
JU847,CX11264,4,0.140769326,0.13144803
LSJ1,CX11264,4,0.231057417,0.267921481
MY10,CX11264,5,0.142149107,0.131344483
MY18,CX11264,4,0.120496811,0.167918815
PX174,CX11264,6,0.216283538,0.21893556
PX179,CX11264,5,0.214815371,0.261158449
QX1211,CX11264,0,0,0
QX1233,CX11264,14,0.44179886,0.450307564
JU258,CX11264,3,0.039761142,0.024154854
AB1,CX11264,4,0.158294802,0.209655828
AB4,CX11264,7,0.31953642,0.418146951
CB4854,CX11264,5,0.148422166,0.217597356
CB4856,CX11264,0,0,0
CB4932,CX11264,3,0.079345376,0.102813168
CB4852,CX11307,4,0.22494871,0.280854806
CX11292,CX11307,5,0.330177378,0.357696848
CX11262,CX11307,5,0.232260781,0.232760049
CX11315,CX11307,6,0.225667561,0.286316292
CX11271,CX11307,11,0.435157573,0.450516864
CX11276,CX11307,9,0.402054234,0.422773496
CX11285,CX11307,8,0.129552231,0.19963799
ED3005,CX11307,7,0.251663186,0.279768972
ED3012,CX11307,6,0.260857025,0.284822304
ED3017,CX11307,6,0.254080302,0.338520251
ED3048,CX11307,6,0.307997131,0.329432982
ED3052,CX11307,8,0.210625988,0.213762913
ED3073,CX11307,8,0.318449438,0.32132897
EG4347,CX11307,10,0.360699076,0.357214777
EG4349,CX11307,12,0.208311764,0.285081674
EG4946,CX11307,6,0.298776082,0.336708503
JT11398,CX11307,7,0.236233935,0.328793978
JU310,CX11307,7,0.306188182,0.376450822
MY23,CX11307,4,0.05564177,0.073062064
JU1212,CX11307,4,0.111411682,0.101676874
JU1213,CX11307,8,0.181461406,0.210877105
JU1242,CX11307,8,0.25387769,0.311295583
JU1409,CX11307,10,0.264840981,0.285647949
JU1491,CX11307,9,0.266855512,0.298244591
JU1581,CX11307,4,0.134956198,0.152045038
JU1568,CX11307,7,0.196625297,0.277775756
JU311,CX11307,5,0.121505334,0.157110433
JU323,CX11307,6,0.178472964,0.227799708
JU346,CX11307,6,0.203609475,0.195908132
JU360,CX11307,6,0.260491091,0.304604003
JU367,CX11307,6,0.216498994,0.297222928
JU363,CX11307,7,0.235073545,0.29791366
JU394,CX11307,6,0.191361512,0.213767117
JU792,CX11307,7,0.187669376,0.246288889
JU397,CX11307,7,0.170342152,0.230355234
JU561,CX11307,6,0.210932955,0.201381273
JU775,CX11307,4,0.093218451,0.134016538
JU830,CX11307,8,0.200230154,0.303303236
JU847,CX11307,3,0.126599161,0.125654833
LSJ1,CX11307,7,0.341397723,0.375485311
MY10,CX11307,7,0.209939499,0.202042985
MY18,CX11307,6,0.198434882,0.214068889
PX174,CX11307,11,0.474609942,0.440624392
PX179,CX11307,10,0.293113861,0.316258591
QX1211,CX11307,0,0,0
QX1233,CX11307,6,0.268369661,0.28501246
JU258,CX11307,2,0.042478931,0.024609474
AB1,CX11307,6,0.207976163,0.269297992
AB4,CX11307,9,0.24935919,0.298192913
CB4854,CX11307,8,0.266881947,0.29394026
CB4856,CX11307,0,0,0
CB4932,CX11307,7,0.193896331,0.223757753
CX11264,CX11307,6,0.255899289,0.311869577
CB4852,CX11314,9,0.372369906,0.393602348
CX11292,CX11314,10,0.680639694,0.719065045
CX11262,CX11314,9,0.569037157,0.675600498
CX11315,CX11314,14,0.538229878,0.589540628
CX11271,CX11314,7,0.507358096,0.506438756
CX11276,CX11314,8,0.429472315,0.468536915
CX11285,CX11314,11,0.315566139,0.314754417
ED3005,CX11314,10,0.481760218,0.507905982
ED3012,CX11314,8,0.351697843,0.362845588
ED3017,CX11314,6,0.283554047,0.301322932
ED3048,CX11314,11,0.437549627,0.439684635
ED3052,CX11314,7,0.289437915,0.260966505
ED3073,CX11314,8,0.343354014,0.380389919
EG4347,CX11314,7,0.439503053,0.442069997
EG4349,CX11314,9,0.210822295,0.245728566
EG4946,CX11314,10,0.603259922,0.634390974
JT11398,CX11314,6,0.201027655,0.291558942
JU310,CX11314,7,0.338661522,0.350635071
MY23,CX11314,6,0.074235745,0.086604545
JU1212,CX11314,2,0.10357307,0.07574792
JU1213,CX11314,5,0.167277809,0.134946269
JU1242,CX11314,5,0.208384078,0.209322081
JU1409,CX11314,10,0.302609981,0.307657139
JU1491,CX11314,6,0.199975162,0.21799796
JU1581,CX11314,3,0.076980168,0.072191501
JU1568,CX11314,5,0.21253841,0.256330424
JU311,CX11314,5,0.157555901,0.15321121
JU323,CX11314,8,0.268981535,0.277296041
JU346,CX11314,5,0.13255732,0.106973169
JU360,CX11314,9,0.288695595,0.31284121
JU367,CX11314,8,0.305084893,0.334443104
JU363,CX11314,10,0.263278049,0.306150868
JU394,CX11314,4,0.15780331,0.153765392
JU792,CX11314,4,0.093737931,0.092462082
JU397,CX11314,3,0.075069682,0.083236116
JU561,CX11314,9,0.31691552,0.309813798
JU775,CX11314,6,0.127202038,0.140990178
JU830,CX11314,9,0.206907878,0.249993741
JU847,CX11314,7,0.225483222,0.170776702
LSJ1,CX11314,6,0.363706558,0.361057857
MY10,CX11314,6,0.22173308,0.212021747
MY18,CX11314,8,0.244131949,0.255869353
PX174,CX11314,7,0.380324592,0.365687408
PX179,CX11314,7,0.305260039,0.369430916
QX1211,CX11314,0,0,0
QX1233,CX11314,13,0.574127488,0.613182584
JU258,CX11314,6,0.120137663,0.091753594
AB1,CX11314,7,0.262095627,0.318781303
AB4,CX11314,13,0.560686158,0.634078297
CB4854,CX11314,11,0.329606495,0.383062244
CB4856,CX11314,0,0,0
CB4932,CX11314,5,0.123183845,0.137402233
CX11264,CX11314,9,0.606120548,0.667462363
CX11307,CX11314,6,0.356041382,0.359213036
CB4852,DL200,9,0.311442216,0.400742007
CX11292,DL200,9,0.283298293,0.362599919
CX11262,DL200,8,0.183577007,0.210578089
CX11315,DL200,7,0.214407861,0.305321018
CX11271,DL200,13,0.318256201,0.430721424
CX11276,DL200,11,0.357535321,0.442999039
CX11285,DL200,8,0.197304309,0.290083868
ED3005,DL200,6,0.19470906,0.291653901
ED3012,DL200,8,0.289046097,0.36347203
ED3017,DL200,14,0.429708449,0.533405361
ED3048,DL200,9,0.335484155,0.403429091
ED3052,DL200,8,0.288768433,0.316562929
ED3073,DL200,11,0.367127304,0.390480697
EG4347,DL200,9,0.313406806,0.387432484
EG4349,DL200,13,0.244533842,0.332490642
EG4946,DL200,10,0.287303395,0.357254312
JT11398,DL200,10,0.405343047,0.493631277
JU310,DL200,11,0.476903516,0.580851168
MY23,DL200,3,0.051275889,0.073992314
JU1212,DL200,8,0.159829844,0.18499938
JU1213,DL200,11,0.421106356,0.491749576
JU1242,DL200,13,0.508166675,0.62855268
JU1409,DL200,6,0.258645243,0.328292434
JU1491,DL200,11,0.345177231,0.4054995
JU1581,DL200,7,0.276501064,0.30312035
JU1568,DL200,9,0.317939355,0.403344628
JU311,DL200,7,0.298824532,0.325370466
JU323,DL200,9,0.478665196,0.541486016
JU346,DL200,10,0.354772709,0.381864794
JU360,DL200,9,0.299214271,0.380477448
JU367,DL200,7,0.285175181,0.390566068
JU363,DL200,8,0.289081349,0.367436582
JU394,DL200,7,0.254884151,0.298569031
JU792,DL200,10,0.481801466,0.561514792
JU397,DL200,12,0.44227165,0.491232094
JU561,DL200,6,0.274715637,0.31049723
JU775,DL200,8,0.162675521,0.207638516
JU830,DL200,9,0.265750228,0.370213611
JU847,DL200,11,0.397390901,0.422945887
LSJ1,DL200,10,0.355600508,0.436163747
MY10,DL200,8,0.210483384,0.290701981
MY18,DL200,7,0.223732947,0.284888402
PX174,DL200,9,0.280503522,0.34020115
PX179,DL200,11,0.343304355,0.407928851
QX1211,DL200,0,0,0
QX1233,DL200,5,0.172532692,0.264322511
JU258,DL200,6,0.134032995,0.114210144
AB1,DL200,7,0.274924565,0.370606406
AB4,DL200,7,0.23623297,0.324175373
CB4854,DL200,6,0.255547006,0.354867302
CB4856,DL200,0,0,0
CB4932,DL200,9,0.366613179,0.414739836
CX11264,DL200,6,0.146783541,0.199026538
CX11307,DL200,8,0.264782505,0.365939878
CX11314,DL200,7,0.151333165,0.195278695
CB4852,DL226,9,0.311063415,0.452870849
CX11292,DL226,10,0.400611749,0.527799655
CX11262,DL226,9,0.239257613,0.344467873
CX11315,DL226,10,0.285212429,0.409490346
CX11271,DL226,8,0.309950416,0.423553005
CX11276,DL226,11,0.34861287,0.474256184
CX11285,DL226,14,0.263602205,0.333632678
ED3005,DL226,9,0.342928124,0.419716305
ED3012,DL226,8,0.296032023,0.43285174
ED3017,DL226,7,0.257083704,0.393258804
ED3048,DL226,10,0.343301228,0.48562449
ED3052,DL226,7,0.280393366,0.365402882
ED3073,DL226,6,0.291038289,0.440643485
EG4347,DL226,9,0.305035787,0.458589689
EG4349,DL226,6,0.179799177,0.264473312
EG4946,DL226,9,0.337215014,0.459886531
JT11398,DL226,7,0.28295606,0.438590113
JU310,DL226,7,0.24885769,0.373893678
MY23,DL226,3,0.06418281,0.105679783
JU1212,DL226,4,0.132809282,0.161712891
JU1213,DL226,5,0.143873056,0.195998048
JU1242,DL226,6,0.193021602,0.304725614
JU1409,DL226,6,0.275662845,0.404977983
JU1491,DL226,3,0.24182795,0.325020441
JU1581,DL226,1,0.1044513,0.152228264
JU1568,DL226,5,0.262464431,0.385802843
JU311,DL226,3,0.186305513,0.270721488
JU323,DL226,8,0.233719178,0.3575151
JU346,DL226,3,0.122612676,0.17445573
JU360,DL226,8,0.209448475,0.346931946
JU367,DL226,12,0.314501112,0.43319102
JU363,DL226,9,0.227564922,0.352606197
JU394,DL226,4,0.220150123,0.285570087
JU792,DL226,3,0.166755234,0.232253542
JU397,DL226,2,0.132542529,0.211031431
JU561,DL226,9,0.286217736,0.38540141
JU775,DL226,3,0.077055407,0.110266892
JU830,DL226,9,0.270822305,0.3916824
JU847,DL226,4,0.148630186,0.224089473
LSJ1,DL226,7,0.310889647,0.440100648
MY10,DL226,6,0.240326979,0.320882998
MY18,DL226,5,0.250906809,0.342344008
PX174,DL226,8,0.279054254,0.401829918
PX179,DL226,8,0.303898134,0.445930084
QX1211,DL226,0,0,0
QX1233,DL226,12,0.342267651,0.426160309
JU258,DL226,3,0.050375628,0.066251728
AB1,DL226,8,0.333969087,0.451827886
AB4,DL226,11,0.338105733,0.483754633
CB4854,DL226,9,0.316213107,0.46145171
CB4856,DL226,0,0,0
CB4932,DL226,6,0.213592146,0.256457827
CX11264,DL226,6,0.174362091,0.253241368
CX11307,DL226,9,0.218479523,0.293516628
CX11314,DL226,11,0.30585493,0.388979778
DL200,DL226,6,0.186313746,0.316124377
CB4852,DL238,0,0,0
CX11292,DL238,0,0,0
CX11262,DL238,0,0,0
CX11315,DL238,0,0,0
CX11271,DL238,0,0,0
CX11276,DL238,0,0,0
CX11285,DL238,0,0,0
ED3005,DL238,0,0,0
ED3012,DL238,0,0,0
ED3017,DL238,0,0,0
ED3048,DL238,0,0,0
ED3052,DL238,0,0,0
ED3073,DL238,0,0,0
EG4347,DL238,0,0,0
EG4349,DL238,0,0,0
EG4946,DL238,0,0,0
JT11398,DL238,0,0,0
JU310,DL238,0,0,0
MY23,DL238,0,0,0
JU1212,DL238,0,0,0
JU1213,DL238,0,0,0
JU1242,DL238,0,0,0
JU1409,DL238,0,0,0
JU1491,DL238,0,0,0
JU1581,DL238,1,0.008739447,0.007475044
JU1568,DL238,0,0,0
JU311,DL238,0,0,0
JU323,DL238,0,0,0
JU346,DL238,0,0,0
JU360,DL238,0,0,0
JU367,DL238,0,0,0
JU363,DL238,0,0,0
JU394,DL238,0,0,0
JU792,DL238,0,0,0
JU397,DL238,0,0,0
JU561,DL238,0,0,0
JU775,DL238,0,0,0
JU830,DL238,0,0,0
JU847,DL238,0,0,0
LSJ1,DL238,0,0,0
MY10,DL238,0,0,0
MY18,DL238,0,0,0
PX174,DL238,0,0,0
PX179,DL238,0,0,0
QX1211,DL238,0,0,0
QX1233,DL238,0,0,0
JU258,DL238,0,0,0
AB1,DL238,0,0,0
AB4,DL238,0,0,0
CB4854,DL238,0,0,0
CB4856,DL238,1,0.010814385,0.016779062
CB4932,DL238,0,0,0
CX11264,DL238,0,0,0
CX11307,DL238,0,0,0
CX11314,DL238,0,0,0
DL200,DL238,0,0,0
DL226,DL238,0,0,0
CB4852,ED3011,6,0.436527001,0.507666114
CX11292,ED3011,9,0.632081243,0.664465599
CX11262,ED3011,5,0.159219848,0.228778101
CX11315,ED3011,9,0.377058764,0.468324879
CX11271,ED3011,14,0.532841774,0.601383905
CX11276,ED3011,8,0.419647316,0.479211133
CX11285,ED3011,16,0.454921431,0.499343505
ED3005,ED3011,10,0.621347872,0.695034828
ED3012,ED3011,9,0.385203021,0.469953021
ED3017,ED3011,5,0.355200009,0.417367013
ED3048,ED3011,11,0.542784954,0.628673502
ED3052,ED3011,8,0.446418988,0.473303925
ED3073,ED3011,8,0.350754202,0.464167744
EG4347,ED3011,8,0.450525109,0.521294596
EG4349,ED3011,10,0.28548491,0.323531516
EG4946,ED3011,10,0.533554203,0.588643302
JT11398,ED3011,5,0.286365557,0.424887614
JU310,ED3011,7,0.378890276,0.433804149
MY23,ED3011,5,0.071452617,0.043069735
JU1212,ED3011,5,0.181422146,0.185228721
JU1213,ED3011,5,0.192068812,0.206197973
JU1242,ED3011,9,0.257508654,0.327450811
JU1409,ED3011,10,0.424410214,0.48525611
JU1491,ED3011,8,0.330891069,0.363058533
JU1581,ED3011,3,0.161667501,0.204132378
JU1568,ED3011,8,0.347115797,0.412480389
JU311,ED3011,7,0.267517255,0.305565419
JU323,ED3011,8,0.406591875,0.437395769
JU346,ED3011,6,0.219428811,0.240450215
JU360,ED3011,9,0.30397072,0.404629926
JU367,ED3011,10,0.421845869,0.475546085
JU363,ED3011,9,0.30397072,0.404629926
JU394,ED3011,6,0.27187979,0.299230694
JU792,ED3011,6,0.22384929,0.255982716
JU397,ED3011,6,0.204374858,0.248405124
JU561,ED3011,7,0.340632434,0.414993225
JU775,ED3011,6,0.144497039,0.149423173
JU830,ED3011,9,0.328016325,0.424676717
JU847,ED3011,6,0.261286141,0.268558697
LSJ1,ED3011,7,0.392645513,0.451077536
MY10,ED3011,9,0.340367483,0.379005699
MY18,ED3011,6,0.397456053,0.485613335
PX174,ED3011,5,0.355618971,0.434742898
PX179,ED3011,6,0.454808063,0.533730131
QX1211,ED3011,0,0,0
QX1233,ED3011,12,0.482590964,0.552568268
JU258,ED3011,6,0.093888502,0.098244563
AB1,ED3011,5,0.365496866,0.462606948
AB4,ED3011,10,0.486175525,0.555050786
CB4854,ED3011,7,0.342944369,0.466647405
CB4856,ED3011,0,0,0
CB4932,ED3011,7,0.221384455,0.27251585
CX11264,ED3011,7,0.296808166,0.313239118
CX11307,ED3011,7,0.281170984,0.32343428
CX11314,ED3011,11,0.451296505,0.47570124
DL200,ED3011,6,0.246083391,0.329415376
DL226,ED3011,10,0.360448395,0.491651352
DL238,ED3011,0,0,0
CB4852,ED3040,8,0.261969417,0.388964729
CX11292,ED3040,11,0.363096588,0.456532242
CX11262,ED3040,5,0.186081502,0.239071537
CX11315,ED3040,10,0.262693626,0.350291118
CX11271,ED3040,14,0.362098692,0.465015309
CX11276,ED3040,8,0.272986813,0.356978125
CX11285,ED3040,9,0.188983379,0.305104119
ED3005,ED3040,9,0.290187512,0.377386724
ED3012,ED3040,11,0.263086929,0.360014005
ED3017,ED3040,7,0.213657256,0.318093996
ED3048,ED3040,12,0.421716213,0.540451211
ED3052,ED3040,17,0.438046339,0.483748481
ED3073,ED3040,9,0.379340122,0.466210811
EG4347,ED3040,12,0.302136461,0.414643769
EG4349,ED3040,10,0.2555248,0.325269256
EG4946,ED3040,8,0.306825105,0.416133024
JT11398,ED3040,6,0.23985326,0.371643628
JU310,ED3040,8,0.307470404,0.376515872
MY23,ED3040,2,0.018203413,0.013588087
JU1212,ED3040,8,0.18457263,0.217405442
JU1213,ED3040,8,0.162675957,0.189139478
JU1242,ED3040,9,0.174885576,0.299229366
JU1409,ED3040,11,0.361900814,0.454642932
JU1491,ED3040,13,0.384520937,0.43757499
JU1581,ED3040,6,0.133798786,0.210328246
JU1568,ED3040,11,0.27591447,0.339723492
JU311,ED3040,7,0.166267984,0.209741579
JU323,ED3040,12,0.327692431,0.416593975
JU346,ED3040,10,0.248462883,0.323261041
JU360,ED3040,7,0.24042589,0.353894042
JU367,ED3040,9,0.267489554,0.347786491
JU363,ED3040,7,0.24042589,0.353894042
JU394,ED3040,10,0.228098763,0.240333188
JU792,ED3040,11,0.236936525,0.293254162
JU397,ED3040,10,0.215932663,0.281887474
JU561,ED3040,10,0.313281775,0.375250696
JU775,ED3040,9,0.236477426,0.252705391
JU830,ED3040,8,0.322093835,0.418469344
JU847,ED3040,7,0.126317163,0.173743488
LSJ1,ED3040,11,0.334312978,0.403914358
MY10,ED3040,9,0.245860356,0.34433326
MY18,ED3040,7,0.2684213,0.329205577
PX174,ED3040,9,0.325330657,0.41687126
PX179,ED3040,10,0.308822664,0.425861314
QX1211,ED3040,0,0,0
QX1233,ED3040,9,0.270380687,0.349476837
JU258,ED3040,6,0.209529697,0.182437173
AB1,ED3040,8,0.285831875,0.383404968
AB4,ED3040,9,0.306773148,0.397737304
CB4854,ED3040,10,0.319176203,0.465387343
CB4856,ED3040,1,0.0182044,0.010952352
CB4932,ED3040,8,0.203049461,0.24045416
CX11264,ED3040,4,0.12263726,0.160435902
CX11307,ED3040,6,0.197226313,0.225645785
CX11314,ED3040,10,0.290293017,0.328646133
DL200,ED3040,8,0.247020476,0.301727452
DL226,ED3040,9,0.256406776,0.369491313
DL238,ED3040,0,0,0
ED3011,ED3040,9,0.329223906,0.407017055
CB4852,ED3046,11,0.379279878,0.452343421
CX11292,ED3046,11,0.432498891,0.478005405
CX11262,ED3046,8,0.163261316,0.199384741
CX11315,ED3046,9,0.264733038,0.376164729
CX11271,ED3046,17,0.461033646,0.498031325
CX11276,ED3046,13,0.431749291,0.472926358
CX11285,ED3046,14,0.30272232,0.37775776
ED3005,ED3046,11,0.342833941,0.402627612
ED3012,ED3046,11,0.356789392,0.444876356
ED3017,ED3046,11,0.352978194,0.409202145
ED3048,ED3046,16,0.492194068,0.560448461
ED3052,ED3046,13,0.388256338,0.435385926
ED3073,ED3046,13,0.415895977,0.477745516
EG4347,ED3046,12,0.380223322,0.438156973
EG4349,ED3046,13,0.300993798,0.329573437
EG4946,ED3046,11,0.429406958,0.475833517
JT11398,ED3046,10,0.302533234,0.390816121
JU310,ED3046,13,0.425206029,0.462073738
MY23,ED3046,1,0.018761946,0.018918136
JU1212,ED3046,5,0.164671066,0.177662564
JU1213,ED3046,8,0.297071876,0.301508226
JU1242,ED3046,13,0.314731883,0.394950718
JU1409,ED3046,11,0.375097818,0.424158905
JU1491,ED3046,13,0.295569328,0.367617072
JU1581,ED3046,9,0.221308937,0.241053159
JU1568,ED3046,9,0.325397081,0.409409618
JU311,ED3046,9,0.268331658,0.305659868
JU323,ED3046,12,0.433612331,0.476455335
JU346,ED3046,11,0.279005957,0.257330827
JU360,ED3046,12,0.309591394,0.387000752
JU367,ED3046,10,0.348262758,0.420401205
JU363,ED3046,12,0.309591394,0.387000752
JU394,ED3046,6,0.238988856,0.275462513
JU792,ED3046,11,0.292873832,0.342687871
JU397,ED3046,11,0.265577378,0.329890438
JU561,ED3046,11,0.314423239,0.415909015
JU775,ED3046,9,0.172643695,0.183584242
JU830,ED3046,13,0.30366256,0.391682839
JU847,ED3046,13,0.349051346,0.336877658
LSJ1,ED3046,8,0.335604836,0.414819965
MY10,ED3046,10,0.31184431,0.368219267
MY18,ED3046,9,0.278817327,0.35359218
PX174,ED3046,9,0.351747737,0.400181105
PX179,ED3046,12,0.398836751,0.47362428
QX1211,ED3046,0,0,0
QX1233,ED3046,8,0.27373307,0.370458921
JU258,ED3046,8,0.137818824,0.122984776
AB1,ED3046,8,0.334153948,0.435073399
AB4,ED3046,10,0.338463093,0.414746048
CB4854,ED3046,11,0.32059829,0.43538296
CB4856,ED3046,0,0,0
CB4932,ED3046,12,0.320902177,0.364857139
CX11264,ED3046,5,0.180558899,0.232621901
CX11307,ED3046,9,0.227505241,0.259952961
CX11314,ED3046,9,0.287072929,0.308837442
DL200,ED3046,11,0.383345925,0.457985797
DL226,ED3046,10,0.287592909,0.38466618
DL238,ED3046,0,0,0
ED3011,ED3046,11,0.451591339,0.535914023
ED3040,ED3046,12,0.295301614,0.382746372
CB4852,ED3049,11,0.379279878,0.452343421
CX11292,ED3049,11,0.432498891,0.478005405
CX11262,ED3049,8,0.163261316,0.199384741
CX11315,ED3049,9,0.264733038,0.376164729
CX11271,ED3049,17,0.434260039,0.484862087
CX11276,ED3049,12,0.400917408,0.450393245
CX11285,ED3049,14,0.30272232,0.37775776
ED3005,ED3049,11,0.342833941,0.402627612
ED3012,ED3049,11,0.356789392,0.444876356
ED3017,ED3049,11,0.352978194,0.409202145
ED3048,ED3049,17,0.487121092,0.558603838
ED3052,ED3049,14,0.384990206,0.431927532
ED3073,ED3049,13,0.415895977,0.477745516
EG4347,ED3049,12,0.384618209,0.44735415
EG4349,ED3049,13,0.300993798,0.329573437
EG4946,ED3049,11,0.429406958,0.475833517
JT11398,ED3049,10,0.302533234,0.390816121
JU310,ED3049,13,0.426858425,0.468150531
MY23,ED3049,1,0.018761946,0.018918136
JU1212,ED3049,5,0.164671066,0.177662564
JU1213,ED3049,8,0.297071876,0.301508226
JU1242,ED3049,13,0.311989392,0.391830335
JU1409,ED3049,11,0.375097818,0.424158905
JU1491,ED3049,13,0.292826837,0.364496689
JU1581,ED3049,9,0.218566445,0.237932776
JU1568,ED3049,9,0.325397081,0.409409618
JU311,ED3049,9,0.268331658,0.305659868
JU323,ED3049,13,0.451379099,0.484169737
JU346,ED3049,12,0.275739825,0.253872433
JU360,ED3049,12,0.309591394,0.387000752
JU367,ED3049,10,0.348262758,0.420401205
JU363,ED3049,12,0.309591394,0.387000752
